,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
908,NNTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,980.0,980.0
909,NNTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1043.0,1043.0
910,NNTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1111.0,1111.0
911,NNTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1179.0,1179.0
912,NNTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1243.0,1243.0
913,NNTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1453.0,1453.0
914,NNTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1591.0,1591.0
915,DefaultThreadPool.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,65.0,65.0
916,StoreProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,54.0,54.0
917,WorkerThread.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,89.0,89.0
918,FolderProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,102.0,102.0
919,FolderProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,128.0,128.0
920,WatchdogFactory.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,31.0,31.0
921,ServerConnection.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,213.0,213.0
922,ServerConnection.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,472.0,472.0
923,DynamicAccount.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,94.0,94.0
924,SimpleConnectionManager.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,100.0,100.0
925,FetchMail.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,515.0,515.0
926,FetchMail.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,572.0,572.0
927,MessageProcessor.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,711.0,711.0
928,JDBCListserv.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,142.0,142.0
929,JDBCListserv.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,244.0,244.0
930,JDBCListserv.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,278.0,278.0
931,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,275.0,275.0
932,AvalonListserv.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,149.0,149.0
933,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,301.0,301.0
934,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,444.0,444.0
935,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,497.0,497.0
936,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,520.0,520.0
937,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,614.0,614.0
938,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,658.0,658.0
939,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,685.0,685.0
940,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,771.0,771.0
941,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,882.0,882.0
942,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1000.0,1000.0
943,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1017.0,1017.0
944,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1101.0,1101.0
945,MessageProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1261.0,1261.0
946,DNSServer.java,squid:UnusedPrivateMethod,MAJOR,SonarQube,CODE_SMELL,521.0,521.0
947,UseHeaderRecipients.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,122.0,122.0
948,ToProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,89.0,89.0
949,DNSServer.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,386.0,386.0
950,DNSServer.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,206.0,206.0
951,DNSServer.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,395.0,395.0
952,AbstractRedirect.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1193.0,1193.0
953,AbstractRedirect.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1684.0,1684.0
954,AbstractRedirect.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1754.0,1754.0
955,AbstractRedirect.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,152.0,152.0
956,AbstractRedirect.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,184.0,184.0
957,AbstractRedirect.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,1239.0,1239.0
958,AbstractRedirect.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,1052.0,1052.0
959,AbstractRedirect.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,1650.0,1650.0
960,AbstractRedirect.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,1652.0,1652.0
961,AbstractRedirect.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,1655.0,1655.0
962,AbstractRedirect.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,1657.0,1657.0
963,AbstractRedirect.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,1659.0,1659.0
964,AbstractRedirect.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,1660.0,1660.0
965,AbstractRedirect.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,978.0,978.0
966,AbstractRedirect.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1095.0,1095.0
967,AbstractRedirect.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1142.0,1142.0
968,AbstractRedirect.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1210.0,1210.0
969,AbstractRedirect.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1228.0,1228.0
970,AbstractRedirect.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1403.0,1403.0
971,DSNBounce.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,603.0,603.0
972,DSNBounce.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,811.0,811.0
973,DSNBounce.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,861.0,861.0
974,DSNBounce.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,902.0,902.0
975,LocalDelivery.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,45.0,45.0
976,AddFooter.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,127.0,127.0
977,AddFooter.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,180.0,180.0
978,AddFooter.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,120.0,120.0
979,CommandListservProcessor.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,404.0,404.0
980,CommandListservProcessor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,343.0,343.0
981,RemoteDelivery.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1011.0,1011.0
982,LogHeaders.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,79.0,79.0
983,RemoteDelivery.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,344.0,344.0
984,RemoteDelivery.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,571.0,571.0
985,RemoteDelivery.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,928.0,928.0
986,RemoteDelivery.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,208.0,208.0
987,RemoteDelivery.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,393.0,393.0
988,RemoteDelivery.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,478.0,478.0
989,RemoteDelivery.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,705.0,705.0
990,RemoteDelivery.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,794.0,794.0
991,RemoteDelivery.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,815.0,815.0
992,RemoteDelivery.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1067.0,1067.0
993,AbstractVirtualUserTable.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,103.0,103.0
994,AbstractVirtualUserTable.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,121.0,121.0
995,AbstractVirtualUserTable.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,306.0,306.0
996,ServerTime.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,47.0,47.0
997,DSNBounce.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,100.0,100.0
998,SMTPHandler.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,80.0,80.0
999,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,275.0,275.0
1000,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,399.0,399.0
1001,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,433.0,433.0
1002,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,513.0,513.0
1003,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,648.0,648.0
1004,CommandStore.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,53.0,53.0
1005,BaseConnectionHandler.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,99.0,99.0
1006,FileMailbox.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,535.0,535.0
1007,BaseCommand.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,36.0,36.0
1008,SingleThreadedConnectionHandler.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,67.0,67.0
1009,SingleThreadedConnectionHandler.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,83.0,83.0
1010,IMAPServer.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,41.0,41.0
1011,SimpleMessageAttributes.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,61.0,61.0
1012,SimpleMessageAttributes.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,66.0,66.0
1013,JamesTask.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,142.0,142.0
1014,AbstractProtocolTest.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,265.0,265.0
1015,UserManagerImpl.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,55.0,55.0
1016,UserManagerImpl.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,66.0,66.0
1017,UserManagerImpl.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,70.0,70.0
1018,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,882.0,882.0
1019,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,1515.0,1515.0
1020,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,1540.0,1540.0
1021,SimpleMessageAttributes.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,67.0,67.0
1022,SimpleMessageAttributes.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,84.0,84.0
1023,SMTPHandler.java,squid:S1157,MAJOR,SonarQube,CODE_SMELL,1080.0,1080.0
1024,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,504.0,504.0
1025,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,559.0,559.0
1026,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,705.0,705.0
1027,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,803.0,803.0
1028,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,873.0,873.0
1029,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,1015.0,1015.0
1030,CommandParser.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,41.0,41.0
1031,UsersLDAPRepository.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,60.0,60.0
1032,ProtocolSession.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,264.0,264.0
1033,AvalonMailStore.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,422.0,422.0
1034,NetMatcher.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,112.0,112.0
1035,MailetConfigImpl.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,55.0,55.0
1036,NNTPSpooler.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,229.0,229.0
1037,James.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,184.0,184.0
1038,RFC822Date.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,39.0,39.0
1039,RFC822Date.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,83.0,83.0
1040,JdbcDataSource.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,437.0,437.0
1041,NNTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,801.0,801.0
1042,NNTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,821.0,821.0
1043,NNTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,1399.0,1399.0
1044,NNTPHandler.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,440.0,440.0
1045,NNTPHandler.java,squid:S1157,MAJOR,SonarQube,CODE_SMELL,545.0,545.0
1046,DefaultThreadControl.java,squid:S2274,CRITICAL,SonarQube,CODE_SMELL,58.0,58.0
1047,NNTPException.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,32.0,32.0
1048,InaccurateTimeoutWatchdog.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,174.0,174.0
1049,ServerConnection.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,364.0,364.0
1050,ServerConnection.java,squid:S2274,CRITICAL,SonarQube,CODE_SMELL,179.0,179.0
1051,ServerConnection.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,328.0,328.0
1052,Redirect.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,375.0,375.0
1053,DNSServer.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,565.0,565.0
1054,AbstractRedirect.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,434.0,434.0
1055,AbstractRedirect.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,1572.0,1572.0
1056,AbstractVirtualUserTable.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,204.0,204.0
1057,RemoteDelivery.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,883.0,883.0
1058,AbstractVirtualUserTable.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,158.0,158.0
1059,Loader.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,57.0,57.0
1060,JamesSpoolManager.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,385.0,385.0
1061,JamesSpoolManager.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,463.0,463.0
1062,LinearProcessor.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,314.0,314.0
1063,LinearProcessor.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,373.0,373.0
1064,LinearProcessor.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,380.0,380.0
1065,LinearProcessor.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,385.0,385.0
1066,SenderInFakeDomain.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,40.0,40.0
1067,AbstractStorageQuota.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,107.0,107.0
1068,AbstractQuotaMatcher.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,76.0,76.0
1069,MBoxMailRepository.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,789.0,789.0
1070,MBoxMailRepository.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,828.0,828.0
1071,AvalonMailRepository.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,62.0,62.0
1072,JDBCSpoolRepository.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,249.0,249.0
1073,JDBCSpoolRepository.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,254.0,254.0
1074,JDBCMailRepository.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,220.0,220.0
1075,JDBCMailRepository.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,228.0,228.0
1076,File_Persistent_Object_Repository.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,71.0,71.0
1077,File_Persistent_Object_Repository.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,107.0,107.0
1078,RepositoryManager.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,51.0,51.0
1079,RepositoryManager.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,119.0,119.0
1080,RemoteManagerHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,596.0,596.0
1081,RemoteManagerHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,611.0,611.0
1082,RemoteManagerHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,655.0,655.0
1083,RemoteManagerHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,966.0,966.0
1084,RemoteManagerHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,977.0,977.0
1085,RemoteManagerHandler.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,311.0,311.0
1086,SMTPHandler.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,78.0,78.0
1087,SMTPHandler.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,92.0,92.0
1088,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,261.0,261.0
1089,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,312.0,312.0
1090,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,510.0,510.0
1091,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,518.0,518.0
1092,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,653.0,653.0
1093,CommandStore.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,40.0,40.0
1094,CommandStore.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,57.0,57.0
1095,Flags.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,49.0,49.0
1096,FileMailbox.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,137.0,137.0
1097,FileMailbox.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,143.0,143.0
1098,FileMailbox.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,246.0,246.0
1099,JamesHost.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,67.0,67.0
1100,SingleThreadedConnectionHandler.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,62.0,62.0
1101,SingleThreadedConnectionHandler.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,77.0,77.0
1102,SingleThreadedConnectionHandler.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,95.0,95.0
1103,SimpleMessageAttributes.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,62.0,62.0
1104,SimpleMessageAttributes.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,80.0,80.0
1105,ListCommand.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,71.0,71.0
1106,CopyCommand.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,49.0,49.0
1107,CopyCommand.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,54.0,54.0
1108,CopyCommand.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,62.0,62.0
1109,CopyCommand.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,66.0,66.0
1110,AstringArgument.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,27.0,27.0
1111,JamesTask.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,115.0,115.0
1112,JamesTask.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,192.0,192.0
1113,James.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,117.0,117.0
1114,AbstractProtocolTest.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,383.0,383.0
1115,UserManagerAdminImpl.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,63.0,63.0
1116,UserManagerAdminClient.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,167.0,167.0
1117,UserManagerAdminClient.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,40.0,40.0
1118,James.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,139.0,139.0
1119,ImapSessionImpl.java,squid:S1186,MAJOR,SonarQube,CODE_SMELL,67.0,67.0
1120,ImapHandler.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,60.0,60.0
1121,ImapHandler.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,72.0,72.0
1122,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,1218.0,1218.0
1123,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,1527.0,1527.0
1124,SMTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,1553.0,1553.0
1125,SimpleMessageAttributes.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,68.0,68.0
1126,SimpleMessageAttributes.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,72.0,72.0
1127,SimpleMessageAttributes.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,86.0,86.0
1128,SMTPHandler.java,squid:S1157,MAJOR,SonarQube,CODE_SMELL,914.0,914.0
1129,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,524.0,524.0
1130,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,601.0,601.0
1131,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,783.0,783.0
1132,ListCommand.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,196.0,196.0
1133,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,853.0,853.0
1134,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,944.0,944.0
1135,POP3Handler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,1046.0,1046.0
1136,CommandParser.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,305.0,305.0
1137,UsersFileRepository.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,61.0,61.0
1138,UsersLDAPRepository.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,53.0,53.0
1139,UsersLDAPRepository.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,56.0,56.0
1140,UsersLDAPRepository.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,57.0,57.0
1141,UsersLDAPRepository.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,58.0,58.0
1142,UsersLDAPRepository.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,59.0,59.0
1143,James.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,119.0,119.0
1144,JDBCUtil.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,186.0,186.0
1145,JdbcDataSource.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,161.0,161.0
1146,NNTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,790.0,790.0
1147,NNTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,810.0,810.0
1148,NNTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,1321.0,1321.0
1149,NNTPHandler.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,1332.0,1332.0
1150,NNTPHandler.java,squid:S1157,MAJOR,SonarQube,CODE_SMELL,547.0,547.0
1151,WorkerThread.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,101.0,101.0
1152,ServerConnection.java,squid:S2274,CRITICAL,SonarQube,CODE_SMELL,177.0,177.0
1153,ServerConnection.java,squid:S2274,CRITICAL,SonarQube,CODE_SMELL,382.0,382.0
1154,ServerConnection.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,424.0,424.0
1155,MessageProcessor.java,squid:S1158,MAJOR,SonarQube,CODE_SMELL,1245.0,1245.0
1156,DNSServer.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,205.0,205.0
1157,DNSServer.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,569.0,569.0
1158,Forward.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,139.0,139.0
1159,RemoteDelivery.java,squid:S1068,MAJOR,SonarQube,CODE_SMELL,209.0,209.0
1160,RemoteDelivery.java,squid:S1181,BLOCKER,SonarQube,CODE_SMELL,927.0,927.0
1161,RemoteDelivery.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,253.0,253.0
1162,AbstractVirtualUserTable.java,squid:S1172,MAJOR,SonarQube,CODE_SMELL,234.0,234.0
1163,AbstractVirtualUserTable.java,squid:S1155,MAJOR,SonarQube,CODE_SMELL,177.0,177.0
1164,SMTPHandler.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,189.0,189.0
1165,SMTPHandler.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,421.0,421.0
1166,SMTPHandler.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,614.0,614.0
1167,SaslProfile.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,131.0,131.0
1168,DefaultRecordRepository.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,136.0,136.0
1169,FileMailbox.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,337.0,337.0
1170,FileMailbox.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,1583.0,1583.0
1171,FileMailbox.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,1723.0,1723.0
1172,FileMailbox.java,squid:S2250,CRITICAL,SonarQube,CODE_SMELL,1345.0,1345.0
1173,FileMailbox.java,squid:S2250,CRITICAL,SonarQube,CODE_SMELL,1474.0,1474.0
1174,FileMailbox.java,squid:S2250,CRITICAL,SonarQube,CODE_SMELL,1593.0,1593.0
1175,FileMailbox.java,squid:S2250,CRITICAL,SonarQube,CODE_SMELL,1667.0,1667.0
1176,FileMailbox.java,squid:S2250,CRITICAL,SonarQube,CODE_SMELL,1819.0,1819.0
1177,JamesHost.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,276.0,276.0
1178,JamesHost.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,657.0,657.0
1179,BaseCommand.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,227.0,227.0
1180,SingleThreadedConnectionHandler.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,166.0,166.0
1181,SingleThreadedConnectionHandler.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,279.0,279.0
1182,FileStoreHighestUID.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,46.0,46.0
1183,FileStoreHighestUID.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,86.0,86.0
1184,CommandTemplate.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,129.0,129.0
1185,JamesTask.java,squid:S1161,MAJOR,SonarQube,CODE_SMELL,158.0,158.0
1186,AbstractProtocolTest.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,319.0,319.0
1187,James.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,285.0,285.0
1188,James.java,squid:S1166,CRITICAL,SonarQube,CODE_SMELL,487.0,487.0
